rep,var,nlvl,ph_30,ph_45,ph_60,ph_75,ph_90,TL_30,TL_45,TL_60,TL_75,TL_90,FLW_30,FLW_45,FLW_60,FLW_75,FLW_90,DLW_30,DLW_45,DLW_60,DLW_75,DLW_90,FSW_30,FSW_45,FSW_60,FSW_75,FSW_90,DSW_30,DSW_45,DSW_60,DSW_75,DSW_90,FSW_75,FSW_90,DSW_75,DSW_90,LAI_30 ,LAI_45,LAI_60,LAI_75,LAI_90,FET_row,FPh,biomass,g_yield,moisture,thou_gw,test_wt,DoE,DoB,DoH,DoF,DoPM,flag_senc,flag_LA,Spike_len,grain_spike,spikelet_spike,floret_spike,sterility
2,3,4,24.8,68.6,68.6,89.3,91.4,69,74,79,70,68,8.37,18.84,16.64,22.18,16.14,0.85,3.65,4.44,7.08,6.68,2.5,18.61,52.27,109.22,114.07,0.3,2.89,9.82,31.55,45.29,35.12,97.3,11.77,38.63,245.01,922.97,978.43,1372.5,1024.24,177,91.4,7.76,3.312,12.4,41.2,379.5066667,9,69,76,82,107,104,40.12,9.9,54.4,18.6,86.2,11
2,4,4,26.5,75.5,75.5,87.1,95.6,48,62,68,62,60,12.39,26.58,18.25,28.25,20.66,1.56,5.16,4.87,9.02,8.55,6.86,25.31,45.76,137.5,11.36,0.62,3.94,8.6,39.71,4.51,39.76,84.1,13.33,33.39,565.29,1302.15,1073.1,1748.11,1311.08,174,95.6,6.6,2.826,12.4,46.8,382.96,9,69,72,84,104,109,53.12,11.34,42.2,15,71.2,14
2,1,5,25.6,63.4,63.4,86.6,90.7,59,62,71,70,67,4.33,15.17,23.74,30.33,5.34,0.83,2.94,6.34,9.69,2.21,1.19,12.47,47.39,113.6,56.92,0.16,1.94,8.91,32.81,22.6,36.8,46.81,12.34,18.59,197.56,743.18,1395.91,1876.82,338.88,174,90.7,7.22,2.726,11.4,37.1,366.8666667,13,69,76,82,106,104,38.536,10.14,64.6,18.6,95.4,5
2,2,5,25.7,72.7,72.7,86.1,89.3,62,73,76,70,68,5.59,21.36,23.29,26.41,10.66,1.07,4.14,6.22,8.43,4.41,3.07,18.77,48.48,129.25,73.39,0.41,2.92,9.11,37.33,29.14,43.31,64.27,14.52,25.52,255.04,1046.43,1369.45,1634.25,676.48,182,89.3,8.08,3.182,11.8,37.87,360.84,9,69,76,82,107,101,50.108,11.2,65.6,18.6,93.8,2
2,3,5,24.7,68.9,68.9,87.6,93.5,58,64,65,65,63,4.83,19.4,21.75,28.23,12.77,0.56,3.76,5.81,9.01,5.28,1.97,13.9,62.76,143.35,112.21,0.28,2.16,11.8,41.4,44.55,43.29,78.86,14.51,31.31,220.37,950.41,1278.9,1746.87,810.38,142,93.5,7,3.06,10.9,40.74,390.1,9,69,76,82,109,109,42.006,9.98,55.4,18.4,88,6
2,4,5,25.5,78.2,78.2,86.4,91,57,60,66,53,50,14.28,35.37,39.95,16.72,6.35,0.95,6.86,10.67,5.34,2.63,6.97,29.16,81.88,69.89,68.76,0.27,4.53,15.39,20.19,27.3,23.85,54.31,7.99,21.56,651.53,1732.78,2349.06,1034.63,402.97,149,88,6.73,2.848,11,46.58,383.6,9,69,76,82,104,104,67.7,12.4,51,18,80.2,7
3,1,1,22.9,48.4,48.4,69.1,70.6,54,56,68,67,56,4.74,14.16,15.7,11.79,2.95,0.76,2.75,4.19,3.76,1.22,1.93,11.91,36.1,70.85,32.24,0.32,1.85,6.78,20.46,12.8,16.43,24.95,5.51,9.91,216.26,693.7,923.16,729.57,187.21,124,70.6,2.47,1.22,15.2,37.42,366.96,9,69,76,80,104,99,18.716,7.06,26.4,14.8,49.2,2
3,2,1,23.7,49.5,49.5,66.3,70.8,54,57,64,61,58,4.05,11.87,7.29,7.3,1.21,0.66,2.3,1.95,2.33,0.5,2.4,12.71,24.84,53.11,23.69,0.27,1.98,4.67,15.34,9.41,11.44,16.11,3.83,6.4,184.78,581.51,428.65,451.72,76.79,100,70.8,2.95,1.068,13.7,39.46,368.86,9,69,76,80,104,99,20.288,7.84,33.2,18.4,58.8,1
3,3,1,23.2,57.3,57.3,68.9,70.5,39,48,52,46,40,6.13,10.48,9.1,7.44,2.09,0.9,2.03,2.43,2.38,0.86,3.83,9.92,19.4,45.86,49.65,0.56,1.54,3.65,13.25,19.71,13.5,39.04,4.53,15.5,279.68,513.42,535.08,460.39,132.63,104,80.5,3.13,1.302,14.3,41.8,377.81,9,69,76,82,104,101,28.018,8.94,41.2,17.2,68.4,14
3,4,1,24.5,59.3,59.3,72.3,70.9,35,45,48,43,40,10.27,25.92,15.06,11.24,0.58,1.07,5.03,4.02,3.59,0.24,4.79,17.89,36.79,69.39,39.11,0.95,2.78,6.91,20.04,15.53,16.82,30.82,5.64,12.24,468.57,1269.82,885.53,695.53,36.81,101,80.9,2.81,1.38,10.1,47,401.2866667,9,69,76,82,104,99,26.74,8.34,28.6,17.4,55.4,6
3,1,2,25.8,67.2,67.2,75.4,80.5,59,68,70,64,59,7.24,18.81,29.16,13.47,3.36,1.38,3.65,7.78,4.3,1.39,3.57,14.04,50.22,70.35,41.95,0.57,2.18,9.44,20.32,16.66,22.61,36.88,7.58,14.64,330.33,921.5,1714.61,833.52,213.23,151,90.5,6.65,2.602,12.7,35.3,358.1933333,9,72,76,80,104,104,43.63,11.16,54.6,17.4,72.2,2
